Sex,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Label
Male,Yes,1,Not Graduate,No,2492,2375,,360,1,Rural,Y
Male,No,2,Graduate,No,3547,0,80,360,0,Rural,N
,Yes,0,Graduate,No,2473,1843,159,360,1,Rural,N
Female,No,0,Graduate,No,3180,0,71,360,0,Urban,N
Female,No,3,Graduate,,416,41667,350,180,,Urban,N
Male,Yes,3,Graduate,No,4691,0,100,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
Male,Yes,2,Graduate,No,5780,0,192,360,1,Urban,Y
Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,Y
Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
Male,Yes,3,Graduate,No,5167,3167,200,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
Female,Yes,0,Graduate,No,4180,2306,182,360,1,Semiurban,Y
